  0:00 ------------------------------------------------------------
  0:00 InitGame: \dmflags\0\fraglimit\30\timelimit\25\sv_hostname\malina\sv_maxclients\8\sv_minRate\0\sv_maxRate\0\sv_dlRate\100\sv_minPing\0\sv_maxPing\0\sv_floodProtect\1\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36+u20181222.e5da13f~dfsg-2/Raspbian linux-arm Mar  8 2019\com_gamename\Quake3Arena\com_protocol\71\g_gametype\0\mapname\q3dm16\sv_privateClients\0\sv_allowDownload\0\bot_minplayers\0\gamename\baseq3\g_needpass\0
  0:00 ClientConnect: 0
  0:33 Item: 0 weapon_shotgun
  0:35 Item: 0 weapon_rocketlauncher
  0:37 Item: 1 item_armor_shard
  0:37 Item: 1 item_armor_shard
  0:37 Item: 1 item_armor_shard
  0:37 Item: 1 item_armor_shard
  0:38 Item: 1 item_armor_shard
  0:39 Item: 0 weapon_railgun
  0:40 Item: 1 weapon_shotgun
  0:41 Item: 1 item_armor_shard
  0:42 Item: 1 item_armor_shard
  0:42 Item: 1 item_armor_shard
  0:42 Item: 1 item_armor_shard
  0:42 Item: 1 item_armor_shard
  0:42 Item: 1 item_armor_shard
  0:42 Item: 3 weapon_rocketlauncher
  0:42 Item: 1 item_armor_shard
  0:47 Item: 2 item_health_large
  0:48 Item: 2 ammo_shells
  0:48 Item: 2 ammo_bullets
  0:49 Item: 1 weapon_shotgun
  0:50 Item: 0 ammo_rockets
  0:50 Item: 0 ammo_rockets
  0:50 Kill: 0 2 10: vincent-vega killed ^4anomen by MOD_RAILGUN
  0:51 Item: 3 ammo_bullets
  0:51 Item: 3 ammo_shells
  0:52 Item: 1 item_health
  0:52 Item: 3 item_health
  0:53 Item: 0 item_armor_combat
  0:54 Item: 3 item_health
  0:54 Item: 0 item_health_large
  0:57 Item: 3 ammo_bullets
  0:57 Item: 3 ammo_shells
  0:58 Item: 3 item_health
  0:58 Item: 3 item_health
  0:59 Kill: 2 1 3: ^4anomen killed Bruno by MOD_MACHINEGUN
  0:59 Item: 2 weapon_shotgun
  1:00 Item: 2 ammo_shells
  1:00 Item: 2 ammo_bullets
  1:03 Item: 2 weapon_rocketlauncher
  1:03 Item: 2 weapon_rocketlauncher
  1:07 Item: 3 item_armor_shard
  1:07 Item: 3 item_armor_shard
  1:07 Item: 3 item_armor_shard
  1:07 Item: 3 item_armor_shard
  1:08 Item: 3 item_armor_shard
  1:08 Item: 3 item_armor_shard
  1:08 Item: 3 item_armor_shard
  1:10 Item: 2 weapon_rocketlauncher
  1:12 Item: 0 weapon_railgun
  1:17 Item: 3 weapon_rocketlauncher
  1:18 Item: 0 weapon_railgun
  1:21 Item: 2 item_armor_shard
  1:21 Item: 2 item_armor_shard
  1:21 Item: 2 item_armor_shard
  1:21 Item: 2 item_armor_shard
  1:21 Item: 2 item_armor_shard
  1:22 Item: 2 item_armor_shard
  1:22 Item: 2 item_armor_shard
  1:23 Item: 2 item_armor_body
  1:25 Item: 2 item_health
  1:25 Item: 3 item_health
  1:25 Item: 2 item_health
  1:25 Item: 1 weapon_plasmagun
  1:26 Item: 2 ammo_slugs
  1:28 Item: 2 weapon_railgun
  1:31 Item: 2 weapon_rocketlauncher
  1:32 Item: 0 item_health
  1:35 Kill: 2 3 6: ^4anomen killed None by MOD_ROCKET
  1:39 Item: 0 ammo_rockets
  1:39 Item: 0 ammo_rockets
  1:41 Item: 0 item_health
  1:41 Item: 2 item_armor_combat
  1:42 Item: 3 weapon_rocketlauncher
  1:42 Item: 0 ammo_bullets
  1:42 Item: 0 ammo_shells
  1:43 Item: 3 weapon_shotgun
  1:45 Item: 1 weapon_railgun
  1:47 Item: 0 item_armor_shard
  1:47 Item: 0 item_armor_shard
  1:47 Item: 0 item_armor_shard
  1:47 Item: 0 item_armor_shard
  1:47 Item: 0 item_armor_shard
  1:50 Item: 1 item_health
  1:50 Item: 1 item_health
  1:50 Item: 0 item_health
  1:50 Item: 3 item_health
  1:50 Item: 3 item_health
  1:51 Item: 2 item_health_large
  1:52 Item: 2 ammo_shells
  1:53 Item: 2 item_health
  1:55 Item: 1 ammo_bullets
  1:55 Item: 1 ammo_shells
  1:56 Item: 2 ammo_bullets
  1:56 Item: 3 ammo_bullets
  1:56 Item: 3 ammo_shells
  1:56 Kill: 3 3 7: None killed None by MOD_ROCKET_SPLASH
  1:57 Item: 0 item_armor_body
  1:59 Item: 2 weapon_rocketlauncher
  2:00 Item: 2 item_armor_shard
  2:00 Item: 2 item_armor_shard
  2:01 Item: 2 item_armor_shard
  2:01 Item: 2 item_armor_shard
  2:01 Item: 2 item_armor_shard
  2:01 Item: 2 item_armor_shard
  2:01 Item: 2 item_armor_shard
  2:01 Item: 0 weapon_plasmagun
  2:05 Item: 0 item_health
  2:06 Item: 2 weapon_railgun
  2:07 Item: 3 weapon_rocketlauncher
  2:10 Kill: 0 1 10: vincent-vega killed Bruno by MOD_RAILGUN
  2:12 Kill: 0 3 10: vincent-vega killed None by MOD_RAILGUN
  2:12 Item: 2 weapon_rocketlauncher
  2:19 Item: 3 weapon_rocketlauncher
  2:20 Item: 2 item_health
  2:24 Item: 3 ammo_bullets
  2:24 Item: 3 ammo_shells
  2:24 Item: 1 weapon_plasmagun
  2:25 Item: 0 item_armor_combat
  2:26 Item: 2 weapon_rocketlauncher
  2:26 Item: 1 item_armor_shard
  2:26 Item: 1 item_armor_shard
  2:26 Item: 1 item_armor_shard
  2:26 Item: 1 item_armor_shard
  2:27 Item: 1 item_armor_shard
  2:27 Item: 2 item_health_large
  2:27 Item: 1 item_armor_shard
  2:27 Item: 0 item_health_large
  2:30 Item: 2 item_health
  2:31 Item: 1 weapon_shotgun
  2:33 Item: 1 item_armor_shard
  2:33 Item: 1 item_armor_shard
  2:33 Item: 1 item_armor_shard
  2:33 Item: 1 item_armor_shard
  2:34 Item: 1 item_armor_shard
  2:34 Item: 1 item_armor_shard
  2:34 Item: 1 item_armor_shard
  2:36 Item: 0 ammo_slugs
  2:37 Item: 3 ammo_bullets
  2:37 Item: 3 ammo_shells
  2:37 Item: 1 item_armor_body
  2:38 Item: 3 item_health
  2:38 Item: 3 item_health
  2:39 Item: 0 weapon_railgun
  2:40 Item: 2 weapon_shotgun
  2:43 Item: 2 item_health
  2:43 Item: 2 item_health
  2:43 Item: 0 ammo_cells
  2:43 Item: 0 ammo_cells
  2:47 Kill: 0 2 10: vincent-vega killed ^4anomen by MOD_RAILGUN
  2:51 Item: 0 item_health
  2:51 Item: 0 item_health
  2:51 Item: 2 ammo_shells
  2:53 Kill: 1022 3 22: <world> killed None by MOD_TRIGGER_HURT
  2:55 Item: 2 weapon_rocketlauncher
  2:57 Item: 0 item_health
  3:00 Item: 2 item_armor_combat
  3:00 Item: 1 weapon_rocketlauncher
  3:05 Item: 1 weapon_rocketlauncher
  3:08 Item: 3 item_health
  3:08 Item: 3 item_health
  3:09 Kill: 1 2 6: Bruno killed ^4anomen by MOD_ROCKET
  3:11 Item: 3 weapon_plasmagun
  3:12 Item: 0 weapon_rocketlauncher
  3:13 Item: 3 item_armor_shard
  3:13 Item: 3 item_armor_shard
  3:13 Item: 3 item_armor_shard
  3:13 Item: 3 item_armor_shard
  3:13 Item: 3 item_armor_shard
  3:14 Item: 3 item_armor_shard
  3:14 Item: 3 item_armor_shard
  3:15 Item: 3 weapon_shotgun
  3:15 Item: 0 item_health_large
  3:16 Item: 1 ammo_bullets
  3:16 Item: 1 ammo_shells
  3:16 Item: 2 weapon_railgun
  3:17 Item: 2 weapon_rocketlauncher
  3:17 Item: 3 weapon_rocketlauncher
  3:17 Item: 1 item_health
  3:17 Item: 1 item_health
  3:20 Kill: 0 1 6: vincent-vega killed Bruno by MOD_ROCKET
  3:20 Item: 0 weapon_rocketlauncher
  3:22 Kill: 1022 3 22: <world> killed None by MOD_TRIGGER_HURT
  3:22 Item: 0 ammo_bullets
  3:23 Item: 0 item_health
  3:24 Kill: 0 1 7: vincent-vega killed Bruno by MOD_ROCKET_SPLASH
  3:25 Item: 2 item_armor_body
  3:25 Item: 3 item_armor_combat
  3:26 Item: 0 ammo_slugs
  3:28 Item: 2 weapon_railgun
  3:29 Item: 3 ammo_bullets
  3:29 Item: 1 weapon_rocketlauncher
  3:32 Item: 2 item_health
  3:33 Item: 2 item_health
  3:34 Item: 1 weapon_railgun
  3:35 Item: 3 weapon_plasmagun
  3:35 Item: 0 item_health
  3:38 Item: 3 weapon_shotgun
  3:40 Item: 3 weapon_rocketlauncher
  3:40 Item: 1 item_health
  3:40 Item: 1 item_health
  3:41 Item: 2 item_armor_shard
  3:41 Item: 2 item_armor_shard
  3:41 Item: 2 item_armor_shard
  3:42 Item: 2 item_armor_shard
  3:42 Item: 2 item_armor_shard
  3:42 Item: 2 item_armor_shard
  3:42 Item: 2 item_armor_shard
  3:44 Kill: 1022 3 22: <world> killed None by MOD_TRIGGER_HURT
  3:45 Item: 2 item_health
  3:46 Item: 2 item_health
  3:46 Item: 0 ammo_rockets
  3:46 Item: 0 ammo_rockets
  3:47 Item: 3 ammo_cells
  3:47 Item: 3 ammo_cells
  3:54 Item: 0 item_armor_combat
  3:56 Item: 1 weapon_shotgun
  4:01 Item: 3 ammo_shells
  4:02 Item: 3 item_health
  4:02 Item: 3 item_health
  4:03 Item: 0 item_health
  4:03 Item: 0 item_health
  4:04 Item: 3 ammo_bullets
  4:04 Item: 3 ammo_shells
  4:05 Kill: 2 1 10: ^4anomen killed Bruno by MOD_RAILGUN
  4:05 Item: 3 item_health
  4:05 Item: 0 weapon_shotgun
  4:08 Item: 3 weapon_railgun
  4:08 Kill: 0 2 1: vincent-vega killed ^4anomen by MOD_SHOTGUN
  4:12 Item: 0 item_health_large
  4:13 Item: 2 ammo_bullets
  4:13 Item: 2 ammo_shells
  4:14 Item: 1 weapon_shotgun
  4:14 Item: 3 weapon_railgun
  4:16 Item: 3 weapon_rocketlauncher
  4:16 Item: 1 item_armor_shard
  4:16 Item: 1 item_armor_shard
  4:16 Item: 1 item_armor_shard
  4:16 Item: 1 item_armor_shard
  4:16 Item: 1 item_armor_shard
  4:16 Item: 1 item_armor_shard
  4:17 Item: 1 item_armor_shard
  4:21 Item: 3 weapon_shotgun
  4:24 Item: 2 weapon_railgun
  4:24 Item: 0 item_armor_body
  4:28 Item: 3 item_health
  4:31 Item: 1 ammo_slugs
  4:32 Item: 3 item_health
  4:33 Item: 0 ammo_cells
  4:33 Item: 0 ammo_cells
  4:34 Item: 2 item_health
  4:36 Item: 2 item_health
  4:36 Item: 2 item_health
  4:37 Kill: 0 1 10: vincent-vega killed Bruno by MOD_RAILGUN
  4:42 Item: 2 weapon_shotgun
  4:43 Item: 3 weapon_railgun
  4:44 Item: 2 weapon_plasmagun
  4:46 Item: 3 item_health
  4:47 Item: 0 ammo_shells
  4:48 Kill: 2 3 10: ^4anomen killed None by MOD_RAILGUN
  4:48 Item: 0 ammo_shells
  4:48 Item: 2 weapon_rocketlauncher
  4:48 Item: 2 item_health
  4:52 Item: 2 item_armor_combat
  4:52 Item: 1 weapon_rocketlauncher
  4:53 Item: 2 item_health_large
  4:53 Item: 3 weapon_plasmagun
  4:54 Item: 2 ammo_bullets
  4:55 Kill: 0 1 7: vincent-vega killed Bruno by MOD_ROCKET_SPLASH
  4:56 Item: 0 weapon_rocketlauncher
  4:59 Item: 0 item_health
  5:00 Item: 0 item_health
  5:01 Item: 2 ammo_rockets
  5:02 Item: 1 ammo_rockets
  5:03 Item: 0 item_armor_body
  5:04 Item: 1 ammo_shells
  5:04 Item: 2 weapon_rocketlauncher
  5:05 Item: 1 item_health
  5:05 Item: 1 item_health
  5:06 Item: 1 ammo_bullets
  5:06 Item: 0 weapon_railgun
  5:08 Item: 3 item_health
  5:08 Item: 3 item_health
  5:09 Item: 2 item_health_large
  5:10 Item: 3 ammo_bullets
  5:11 Item: 1 weapon_shotgun
  5:11 Item: 3 ammo_bullets
  5:11 Item: 3 ammo_shells
  5:14 Item: 1 item_armor_shard
  5:14 Item: 1 item_armor_shard
  5:14 Item: 1 item_armor_shard
  5:14 Item: 1 item_armor_shard
  5:15 Item: 1 item_armor_shard
  5:15 Item: 1 item_armor_shard
  5:15 Item: 1 item_armor_shard
  5:16 Item: 0 item_health
  5:17 Item: 0 item_health
  5:17 Item: 1 item_health
  5:19 Item: 1 ammo_slugs
  5:20 Item: 3 item_health
  5:20 Item: 3 item_health
  5:20 Item: 2 item_health
  5:21 Item: 2 item_health
  5:21 Item: 1 weapon_railgun
  5:30 Item: 3 ammo_shells
  5:30 Item: 0 item_health
  5:30 Item: 2 item_armor_body
  5:31 Item: 0 ammo_shells
  5:35 Item: 0 weapon_railgun
  5:38 Item: 0 item_health
  5:38 Item: 3 weapon_rocketlauncher
  5:41 Item: 0 item_armor_combat
  5:41 Kill: 1022 1 22: <world> killed Bruno by MOD_TRIGGER_HURT
  5:42 Item: 3 item_health
  5:42 Item: 3 item_health
  5:44 Item: 2 ammo_rockets
  5:44 Item: 2 ammo_rockets
  5:47 Item: 1 weapon_rocketlauncher
  5:47 Item: 3 item_health
  5:48 Item: 3 ammo_bullets
  5:50 Item: 3 ammo_bullets
  5:53 Item: 3 weapon_rocketlauncher
  5:54 Item: 2 weapon_railgun
  5:56 Item: 0 ammo_cells
  5:57 Kill: 0 2 10: vincent-vega killed ^4anomen by MOD_RAILGUN
  5:57 Item: 3 weapon_shotgun
  5:59 Item: 0 ammo_slugs
  6:00 Item: 3 item_armor_shard
  6:00 Item: 3 item_armor_shard
  6:00 Item: 3 item_armor_shard
  6:00 Item: 2 ammo_shells
  6:02 Item: 3 item_health
  6:03 Item: 0 item_armor_body
  6:03 Item: 2 weapon_rocketlauncher
  6:04 Item: 1 item_health
  6:04 Item: 0 item_health
  6:05 Item: 0 item_health
  6:05 Item: 0 weapon_rocketlauncher
  6:05 Item: 1 ammo_bullets
  6:08 Item: 1 ammo_shells
  6:08 Item: 0 weapon_railgun
  6:11 Item: 3 item_health
  6:13 Kill: 3 1 1: None killed Bruno by MOD_SHOTGUN
  6:14 Item: 3 weapon_rocketlauncher
  6:16 Item: 0 ammo_shells
  6:17 Item: 2 weapon_railgun
  6:19 Kill: 3 1 7: None killed Bruno by MOD_ROCKET_SPLASH
  6:19 Item: 0 item_armor_combat
  6:21 Item: 3 weapon_rocketlauncher
  6:24 Kill: 3 3 7: None killed None by MOD_ROCKET_SPLASH
  6:26 Item: 1 ammo_shells
  6:29 Kill: 0 2 7: vincent-vega killed ^4anomen by MOD_ROCKET_SPLASH
  6:29 Item: 0 weapon_railgun
  6:37 Kill: 0 1 10: vincent-vega killed Bruno by MOD_RAILGUN
  6:38 Item: 2 weapon_railgun
  6:42 Item: 0 item_health
  6:42 Item: 0 item_health
  6:43 Item: 1 weapon_rocketlauncher
  6:44 Item: 2 weapon_railgun
  6:46 Item: 0 ammo_slugs
  6:46 Item: 1 item_armor_shard
  6:46 Item: 1 item_armor_shard
  6:46 Item: 1 item_armor_shard
  6:47 Item: 1 item_armor_shard
  6:47 Item: 1 item_armor_shard
  6:47 Item: 1 item_armor_shard
  6:47 Item: 1 item_armor_shard
  6:48 Kill: 2 3 10: ^4anomen killed None by MOD_RAILGUN
  6:49 Item: 1 item_armor_body
  6:50 Item: 2 weapon_plasmagun
  6:51 Item: 3 ammo_cells
  6:51 Item: 2 item_armor_shard
  6:51 Item: 2 item_armor_shard
  6:51 Item: 2 item_armor_shard
  6:52 Item: 2 item_armor_shard
  6:52 Item: 2 item_armor_shard
  6:52 Item: 2 item_armor_shard
  6:52 Item: 2 item_armor_shard
  6:54 Item: 1 item_health
  6:54 Item: 2 weapon_rocketlauncher
  6:57 Item: 2 item_health
  6:57 Item: 2 item_health
  6:59 Item: 0 item_health
  7:00 Item: 0 item_health
  7:00 Item: 1 ammo_bullets
  7:03 Item: 2 item_health
  7:04 Item: 0 item_health
  7:04 Item: 0 item_health
  7:07 Item: 0 ammo_shells
  7:10 Item: 3 ammo_bullets
  7:10 Item: 3 ammo_shells
  7:11 Item: 1 item_health
  7:13 Kill: 2 3 6: ^4anomen killed None by MOD_ROCKET
  7:13 Item: 0 item_armor_combat
  7:14 Item: 1 ammo_bullets
  7:18 Item: 0 ammo_shells
  7:18 Item: 2 weapon_rocketlauncher
  7:20 Item: 2 item_armor_shard
  7:20 Item: 2 item_armor_shard
  7:20 Item: 2 item_armor_shard
  7:20 Item: 2 item_armor_shard
  7:20 Item: 2 item_armor_shard
  7:21 Item: 2 item_armor_shard
  7:21 Item: 2 item_armor_shard
  7:23 Item: 2 item_armor_body
  7:23 Item: 0 weapon_railgun
  7:27 Item: 3 weapon_plasmagun
  7:29 Item: 0 item_health
  7:30 Item: 2 item_health
  7:30 Item: 3 item_health
  7:30 Item: 0 item_health
  7:31 Item: 0 ammo_shells
  7:31 Item: 1 weapon_rocketlauncher
  7:32 Kill: 0 3 7: vincent-vega killed None by MOD_ROCKET_SPLASH
  7:33 Item: 0 item_armor_shard
  7:33 Item: 0 item_armor_shard
  7:34 Item: 0 item_armor_shard
  7:34 Item: 0 item_armor_shard
  7:34 Item: 0 item_armor_shard
  7:34 Item: 1 item_health
  7:36 Item: 0 weapon_plasmagun
  7:37 Kill: 2 0 7: ^4anomen killed vincent-vega by MOD_ROCKET_SPLASH
  7:38 Item: 3 weapon_plasmagun
  7:39 Item: 1 ammo_cells
  7:39 Item: 1 ammo_cells
  7:41 Item: 2 ammo_slugs
  7:43 Item: 2 weapon_railgun
  7:46 Item: 1 item_health
  7:46 Kill: 3 3 9: None killed None by MOD_PLASMA_SPLASH
  7:46 Item: 2 item_armor_shard
  7:48 Item: 0 weapon_rocketlauncher
  7:49 Item: 2 item_armor_body
  7:50 Kill: 0 1 7: vincent-vega killed Bruno by MOD_ROCKET_SPLASH
  7:51 Item: 0 item_health_large
  7:52 Item: 2 weapon_railgun
  7:52 Item: 0 ammo_bullets
  7:52 Item: 0 ammo_shells
  7:56 Item: 0 item_armor_combat
  7:58 Item: 3 weapon_rocketlauncher
  7:58 Item: 2 weapon_railgun
  7:58 Item: 3 weapon_rocketlauncher
  7:58 Kill: 0 3 7: vincent-vega killed None by MOD_ROCKET_SPLASH
  8:00 Item: 1 item_armor_shard
  8:00 Item: 1 item_armor_shard
  8:00 Item: 1 item_armor_shard
  8:00 Item: 1 item_armor_shard
  8:01 Item: 1 item_armor_shard
  8:01 Item: 1 item_armor_shard
  8:01 Item: 1 item_armor_shard
  8:03 Item: 2 weapon_railgun
  8:05 Item: 1 item_armor_shard
  8:05 Item: 1 item_armor_shard
  8:06 Item: 1 item_armor_shard
  8:06 Item: 3 weapon_rocketlauncher
  8:06 Item: 1 item_armor_shard
  8:06 Item: 1 item_armor_shard
  8:06 Item: 1 item_armor_shard
  8:09 Item: 0 item_health
  8:11 Item: 1 ammo_bullets
  8:11 Item: 2 item_health
  8:11 Item: 2 item_health
  8:13 Item: 1 weapon_rocketlauncher
  8:14 Item: 0 ammo_bullets
  8:15 Item: 0 ammo_shells
  8:16 Item: 2 item_health
  8:16 Item: 2 item_health
  8:16 Item: 0 item_health
  8:16 Item: 0 item_health
  8:19 Item: 1 item_health
  8:20 Item: 2 weapon_plasmagun
  8:20 Item: 3 item_health
  8:22 Item: 0 ammo_slugs
  8:22 Item: 3 item_health
  8:24 Item: 1 item_health
  8:24 Item: 0 weapon_railgun
  8:25 Item: 2 item_armor_body
  8:29 Item: 0 item_armor_combat
  8:30 Item: 3 weapon_railgun
  8:30 Item: 0 item_health_large
  8:33 Item: 1 item_health
  8:34 Item: 0 weapon_rocketlauncher
  8:34 Item: 3 ammo_cells
  8:36 Item: 2 weapon_railgun
  8:38 Item: 3 ammo_shells
  8:40 Kill: 2 0 8: ^4anomen killed vincent-vega by MOD_PLASMA
  8:40 Item: 3 ammo_shells
  8:40 Item: 3 ammo_bullets
  8:45 Item: 0 weapon_rocketlauncher
  8:46 Item: 3 weapon_shotgun
  8:48 Item: 3 item_armor_shard
  8:48 Item: 2 item_health
  8:48 Item: 3 item_armor_shard
  8:48 Item: 2 item_health
  8:48 Item: 3 item_armor_shard
  8:48 Item: 3 item_armor_shard
  8:49 Item: 3 item_armor_shard
  8:49 Item: 3 item_armor_shard
  8:49 Item: 3 item_armor_shard
  8:49 Item: 1 weapon_plasmagun
  8:52 Item: 2 item_health
  8:55 Item: 0 ammo_bullets
  8:56 Item: 1 item_armor_shard
  8:57 Item: 1 item_armor_shard
  8:57 Item: 1 item_armor_shard
  8:57 Item: 0 ammo_bullets
  8:57 Item: 1 item_armor_shard
  8:57 Item: 1 item_armor_shard
  8:57 Item: 1 item_armor_shard
  8:57 Item: 1 item_armor_shard
  8:58 Item: 3 ammo_shells
  8:58 Item: 0 item_health
  8:58 Kill: 0 3 7: vincent-vega killed None by MOD_ROCKET_SPLASH
  8:59 Item: 0 item_health
  8:59 Item: 0 weapon_shotgun
  9:00 Item: 1 item_armor_body
  9:01 Item: 0 item_health
  9:03 Item: 2 item_health
  9:04 Item: 0 ammo_slugs
  9:06 Item: 1 weapon_shotgun
  9:06 Item: 0 weapon_railgun
  9:09 Kill: 2 0 10: ^4anomen killed vincent-vega by MOD_RAILGUN
  9:10 Item: 2 item_health
  9:13 Item: 2 weapon_rocketlauncher
  9:17 Kill: 0 3 2: vincent-vega killed None by MOD_GAUNTLET
  9:17 Item: 1 item_armor_shard
  9:17 Item: 1 item_armor_shard
  9:17 Item: 1 item_armor_shard
  9:18 Item: 1 item_armor_shard
  9:18 Item: 1 item_armor_shard
  9:18 Item: 1 item_armor_shard
  9:18 Item: 2 weapon_railgun
  9:18 Item: 1 item_armor_shard
  9:20 Item: 0 ammo_shells
  9:20 Item: 0 ammo_bullets
  9:24 Item: 1 weapon_rocketlauncher
  9:24 Kill: 1 0 6: Bruno killed vincent-vega by MOD_ROCKET
  9:27 Item: 1 item_armor_shard
  9:27 Item: 1 item_armor_shard
  9:27 Item: 1 item_armor_shard
  9:27 Item: 1 item_armor_shard
  9:27 Item: 1 item_armor_shard
  9:27 Item: 1 item_armor_shard
  9:28 Item: 0 item_armor_combat
  9:32 Item: 1 item_health
  9:32 Item: 0 weapon_shotgun
  9:34 Item: 2 weapon_rocketlauncher
  9:36 Item: 1 item_health
  9:36 Item: 1 item_health
  9:39 Item: 0 weapon_railgun
  9:40 Kill: 2 1 7: ^4anomen killed Bruno by MOD_ROCKET_SPLASH
  9:40 Item: 2 weapon_rocketlauncher
  9:44 Item: 0 weapon_rocketlauncher
  9:46 Item: 1 ammo_bullets
  9:46 Kill: 3 2 3: None killed ^4anomen by MOD_MACHINEGUN
  9:46 Item: 1 ammo_shells
  9:47 Item: 3 weapon_rocketlauncher
  9:47 Kill: 0 3 6: vincent-vega killed None by MOD_ROCKET
  9:49 Item: 3 ammo_cells
  9:51 Item: 0 item_armor_body
  9:51 Item: 2 ammo_slugs
  9:53 Item: 1 weapon_rocketlauncher
  9:53 Item: 2 weapon_railgun
  9:55 Item: 3 ammo_shells
  9:57 Item: 3 weapon_rocketlauncher
  9:59 Item: 2 item_health
  9:59 Item: 0 item_armor_shard
 10:00 Item: 0 item_armor_shard
 10:00 Item: 0 item_armor_shard
 10:00 Item: 0 item_armor_shard
 10:00 Item: 0 item_armor_shard
 10:00 Item: 0 item_armor_shard
 10:02 Kill: 0 2 6: vincent-vega killed ^4anomen by MOD_ROCKET
 10:05 Item: 3 weapon_railgun
 10:05 Item: 0 weapon_shotgun
 10:06 Item: 2 ammo_bullets
 10:06 Item: 0 item_armor_shard
 10:07 Item: 0 item_armor_shard
 10:07 Item: 0 item_armor_shard
 10:07 Item: 0 item_armor_shard
 10:07 Item: 0 item_armor_shard
 10:07 Item: 0 item_armor_shard
 10:08 Item: 2 weapon_rocketlauncher
 10:09 Item: 3 item_health
 10:10 Item: 0 item_health
 10:11 Item: 2 item_armor_combat
 10:11 Item: 3 ammo_shells
 10:11 Item: 0 item_health
 10:15 Item: 1 ammo_rockets
 10:15 Item: 0 ammo_cells
 10:16 Item: 1 ammo_rockets
 10:19 Item: 0 item_armor_body
 10:19 Item: 2 weapon_rocketlauncher
 10:23 Item: 2 item_health
 10:23 Kill: 0 1 10: vincent-vega killed Bruno by MOD_RAILGUN
 10:23 Item: 2 item_health
 10:23 Item: 3 weapon_railgun
 10:24 Item: 0 item_health
 10:26 Item: 2 weapon_rocketlauncher
 10:28 Item: 2 item_health
 10:29 Item: 1 ammo_shells
 10:31 Item: 2 ammo_slugs
 10:32 Item: 1 weapon_rocketlauncher
 10:33 Kill: 2 3 6: ^4anomen killed None by MOD_ROCKET
 10:34 Item: 2 weapon_railgun
